salary_usd,job_title,salary_local,experience_level,company_location,company_size,employee_residence,remote_ratio,education_required,years_experience,industry,job_description_length,benefits_score,company_name,employment_type_FL,employment_type_FT,employment_type_PT,salary_currency_CAD,salary_currency_CHF,salary_currency_EUR,salary_currency_GBP,salary_currency_JPY,salary_currency_SGD,salary_currency_USD,posting_duration,AWS,Azure,Computer Vision,Data Visualization,Deep Learning,Docker,GCP,Git,Hadoop,Java,Kubernetes,Linux,MLOps,Mathematics,NLP,PyTorch,Python,R,SQL,Scala,Spark,Statistics,Tableau,TensorFlow
89801,121638.74992410523,89801,1.0,123530.21756312445,1.0,119669.54886805556,100,2.0,3,123907.24640175262,1361,8.7,122477.80073939395,False,False,True,False,False,False,False,False,False,True,68,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
252601,121638.74992410523,252601,3.0,160774.44582168458,2.0,154678.5805095472,100,2.0,19,119905.16104714476,572,5.1,120624.93089029983,False,False,True,False,False,False,False,False,False,True,21,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20520,126003.42222540097,20520,0.0,43765.79305704856,0.0,57799.217178759194,0,2.0,0,119905.16104714476,2455,7.5,119828.5926969697,False,True,False,False,False,False,False,False,False,True,44,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
192789,121027.37247892222,173510,2.0,172685.7496254045,0.0,165815.62862215628,100,2.0,5,123907.24640175262,524,5.9,120359.4648923503,False,False,True,False,True,False,False,False,False,False,73,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
107184,122549.92109788003,139339,2.0,129508.99829378532,0.0,127297.27498619958,50,2.0,7,123920.93793267975,2111,9.2,121134.47297521816,True,False,False,False,False,False,False,False,True,False,21,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141909,121027.37247892222,120623,2.0,130864.89733244799,1.0,131432.81177962347,0,0.0,6,123907.24640175262,1601,7.8,122477.80073939395,False,True,False,False,False,True,False,False,False,False,29,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
118238,127497.96600947459,118238,2.0,124020.89985739283,1.0,121796.73522617208,100,0.0,7,121046.11303042462,2431,8.2,120624.93089029983,True,False,False,False,False,False,False,False,False,True,56,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
155210,122840.68449392362,209534,2.0,125694.26679247017,2.0,126051.60082282282,0,2.0,7,120367.39506170356,595,9.7,124477.45845047,False,False,True,False,False,False,False,False,False,False,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
96699,127497.96600947459,130544,2.0,125694.26679247017,0.0,124021.16862287905,0,3.0,5,125714.78119225723,582,9.7,120624.93089029983,False,True,False,False,False,False,False,False,False,False,15,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
161477,121605.0716888889,137255,2.0,114742.8815534925,2.0,115660.84975247011,50,1.0,8,121127.23236765678,1861,9.5,118337.19699517907,False,True,False,False,False,True,False,False,False,False,27,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
316709,121605.0716888889,316709,3.0,158360.08205671902,2.0,154729.955231694,50,3.0,18,124127.19528382148,1284,7.6,125432.11887271449,False,False,False,False,False,False,False,False,False,True,53,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62089,123455.98514601345,77611,1.0,113746.56958184903,0.0,127297.27498619958,50,3.0,3,121880.94338928694,2264,9.7,119828.5926969697,False,False,False,True,False,False,False,False,False,False,38,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
77985,121638.74992410523,77985,0.0,158360.08205671902,0.0,154729.955231694,0,0.0,0,123920.93793267975,655,9.4,124477.45845047,False,False,False,False,False,False,False,False,False,True,27,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
55315,121027.37247892222,47018,0.0,118315.33478882577,0.0,118605.80015427929,0,3.0,0,121880.94338928694,1107,9.5,122130.72615279279,False,False,True,False,False,True,False,False,False,False,72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0
246647,122053.19618785496,320641,3.0,129508.99829378532,1.0,127297.27498619958,50,2.0,16,120812.53269133334,2347,6.6,121134.47297521816,False,False,True,False,False,False,False,False,True,False,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
29050,124380.2992305099,29050,0.0,57707.94469455337,0.0,123778.5602185247,0,0.0,1,122381.52114165043,555,5.2,122187.41401641685,False,True,False,False,False,False,False,False,False,True,41,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
120599,120265.20777809255,90449,1.0,130012.48368322718,2.0,128906.90555944799,50,2.0,4,120367.39506170356,699,6.4,120359.4648923503,False,False,False,False,False,False,True,False,False,False,47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
277727,120419.97521352161,361045,3.0,129508.99829378532,2.0,127297.27498619958,50,0.0,13,123907.24640175262,529,9.0,122130.72615279279,False,False,True,False,False,False,False,False,True,False,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
158734,127497.96600947459,198418,3.0,113746.56958184903,0.0,100103.87447146118,50,2.0,16,122524.88981824348,1607,6.2,122130.72615279279,False,False,True,True,False,False,False,False,False,False,70,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
139438,127497.96600947459,15338180,2.0,131226.80012226684,2.0,129660.4507294766,0,3.0,9,122524.88981824348,1826,9.9,124593.67228891222,True,False,False,False,False,False,False,True,False,False,57,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
131432,120265.20777809255,170862,2.0,129508.99829378532,1.0,125832.35612855518,50,2.0,5,120092.12278012821,1134,5.3,124593.67228891222,False,False,True,False,False,False,False,False,True,False,73,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140290,117026.43936580967,140290,1.0,158360.08205671902,2.0,154729.955231694,50,0.0,4,121127.23236765678,2437,5.7,121134.47297521816,False,False,True,False,False,False,False,False,False,True,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
90858,122296.86371105073,77229,1.0,114742.8815534925,2.0,115660.84975247011,50,1.0,2,121127.23236765678,1793,7.1,118337.19699517907,False,False,False,False,False,True,False,False,False,False,31,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
126597,118898.54564649124,94948,2.0,130012.48368322718,2.0,127297.27498619958,50,2.0,6,120643.85162628206,2236,7.8,123787.58394685504,True,False,False,False,False,False,True,False,False,False,14,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
53274,122053.19618785496,53274,0.0,116306.61368095898,1.0,117272.31670919541,100,0.0,0,123920.93793267975,1444,6.0,125432.11887271449,True,False,False,False,False,False,False,False,False,True,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
155357,122549.92109788003,155357,3.0,123530.21756312445,0.0,115660.84975247011,100,1.0,17,121127.23236765678,830,5.2,122477.80073939395,True,False,False,False,False,False,False,False,False,True,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
116292,121638.74992410523,98848,1.0,130864.89733244799,1.0,112923.80331060606,50,1.0,4,119905.16104714476,2404,7.9,120359.4648923503,True,False,False,False,False,True,False,False,False,False,40,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
140363,121180.10279150744,119309,2.0,118315.33478882577,2.0,118605.80015427929,100,2.0,6,120092.12278012821,1852,9.8,120624.93089029983,False,False,False,False,False,True,False,False,False,False,65,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
162306,122296.86371105073,162306,2.0,116649.10313411971,2.0,119080.62298168498,0,2.0,9,120367.39506170356,1066,5.6,124477.45845047,False,False,False,False,False,False,False,False,False,True,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
134224,117026.43936580967,134224,3.0,57707.94469455337,2.0,69847.72777302799,0,2.0,16,125714.78119225723,1743,6.6,120359.4648923503,False,True,False,False,False,False,False,False,False,True,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
77500,122296.86371105073,58125,1.0,130012.48368322718,0.0,154678.5805095472,0,3.0,3,125714.78119225723,811,10.0,123787.58394685504,False,False,False,False,False,False,True,False,False,False,70,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
154083,121180.10279150744,154083,2.0,124020.89985739283,2.0,121796.73522617208,50,0.0,7,120092.12278012821,1969,7.7,124477.45845047,False,False,True,False,False,False,False,False,False,True,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79445,122513.0502911138,79445,1.0,124020.89985739283,1.0,121796.73522617208,50,1.0,4,121127.23236765678,511,7.2,122477.80073939395,True,False,False,False,False,False,False,False,False,True,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
157466,120265.20777809255,141719,2.0,172685.7496254045,1.0,165815.62862215628,100,0.0,8,123920.93793267975,547,5.2,122130.72615279279,True,False,False,False,True,False,False,False,False,False,42,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38972,120265.20777809255,38972,1.0,43765.79305704856,2.0,57799.217178759194,0,3.0,4,121127.23236765678,2163,7.1,122187.41401641685,False,True,False,False,False,False,False,False,False,True,41,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
66090,124380.2992305099,82613,1.0,113746.56958184903,0.0,114675.09254470286,0,3.0,3,125714.78119225723,1901,5.3,121134.47297521816,False,False,True,True,False,False,False,False,False,False,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
47943,117026.43936580967,47943,1.0,57707.94469455337,2.0,69847.72777302799,50,3.0,2,121584.10820267188,2483,6.2,122111.38418310913,False,False,True,False,False,False,False,False,False,True,51,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
217318,123455.98514601345,217318,3.0,124020.89985739283,1.0,119674.65629078014,100,1.0,17,121584.10820267188,1647,7.8,124593.67228891222,False,False,True,False,False,False,False,False,False,True,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
84705,122053.19618785496,84705,1.0,160774.44582168458,0.0,154678.5805095472,50,3.0,3,120643.85162628206,879,6.6,125432.11887271449,False,False,False,False,False,False,False,False,False,True,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
36076,122861.90977390528,36076,2.0,43765.79305704856,1.0,57799.217178759194,50,2.0,7,121880.94338928694,580,7.5,124593.67228891222,False,True,False,False,False,False,False,False,False,True,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
160216,119771.69037790158,160216,3.0,116649.10313411971,2.0,118453.39422916668,100,2.0,15,121046.11303042462,941,6.0,119828.5926969697,False,True,False,False,False,False,False,False,False,True,20,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
60826,124380.2992305099,45620,0.0,130012.48368322718,0.0,128906.90555944799,0,1.0,0,120367.39506170356,1731,6.3,125432.11887271449,False,True,False,False,False,False,True,False,False,False,28,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
237320,124380.2992305099,177990,3.0,130012.48368322718,1.0,128906.90555944799,0,1.0,16,121127.23236765678,991,7.7,118337.19699517907,False,False,True,False,False,False,True,False,False,False,46,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
60243,121027.37247892222,51207,0.0,114742.8815534925,1.0,115660.84975247011,100,2.0,1,123907.24640175262,1661,8.8,122130.72615279279,True,False,False,False,False,True,False,False,False,False,15,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
74091,120265.20777809255,8150010,0.0,131226.80012226684,1.0,129660.4507294766,50,1.0,1,122381.52114165043,1295,7.2,120359.4648923503,False,False,True,False,False,False,False,True,False,False,64,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
68535,120419.97521352161,58255,0.0,114742.8815534925,2.0,115660.84975247011,100,0.0,1,121880.94338928694,1943,5.5,123787.58394685504,False,True,False,False,False,True,False,False,False,False,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
99401,121027.37247892222,99401,1.0,160774.44582168458,0.0,154678.5805095472,50,1.0,3,123907.24640175262,1371,9.4,120359.4648923503,True,False,False,False,False,False,False,False,False,True,31,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
67632,122549.92109788003,67632,0.0,124020.89985739283,2.0,121796.73522617208,0,2.0,0,120643.85162628206,2133,8.9,118326.856517193,False,True,False,False,False,False,False,False,False,True,28,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
133163,123455.98514601345,113189,2.0,130864.89733244799,1.0,131432.81177962347,0,0.0,6,121880.94338928694,2141,7.9,124477.45845047,False,False,False,False,False,True,False,False,False,False,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
125752,121027.37247892222,125752,1.0,160774.44582168458,0.0,154678.5805095472,0,2.0,4,123920.93793267975,2390,6.0,123787.58394685504,False,True,False,False,False,False,False,False,False,True,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
70927,126003.42222540097,7801970,0.0,131226.80012226684,1.0,129660.4507294766,0,0.0,1,125714.78119225723,1847,9.3,120359.4648923503,False,False,False,False,False,False,False,True,False,False,29,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80810,127497.96600947459,60608,0.0,130012.48368322718,2.0,128906.90555944799,0,2.0,1,120367.39506170356,1476,5.4,121447.97372036037,False,False,True,False,False,False,True,False,False,False,63,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
59614,122513.0502911138,77498,0.0,129508.99829378532,0.0,127297.27498619958,100,0.0,1,123907.24640175262,1581,7.3,120359.4648923503,False,False,False,False,False,False,False,False,True,False,42,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
151907,121027.37247892222,129121,3.0,122934.0714931203,0.0,133641.81989803922,50,0.0,16,121880.94338928694,1433,6.1,120359.4648923503,False,True,False,False,False,True,False,False,False,False,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
76317,122840.68449392362,76317,3.0,43765.79305704856,1.0,57799.217178759194,0,1.0,14,120367.39506170356,1228,9.1,118337.19699517907,False,False,False,False,False,False,False,False,False,True,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
160534,121065.5112363969,160534,2.0,158360.08205671902,1.0,154729.955231694,100,2.0,9,119905.16104714476,1651,8.3,118326.856517193,True,False,False,False,False,False,False,False,False,True,27,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
40687,119771.69037790158,40687,1.0,43765.79305704856,2.0,57799.217178759194,50,2.0,3,124127.19528382148,804,7.3,121447.97372036037,False,True,False,False,False,False,False,False,False,True,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
129265,121180.10279150744,174508,2.0,125694.26679247017,0.0,124021.16862287905,0,2.0,5,122381.52114165043,2410,6.9,118337.19699517907,True,False,False,False,False,False,False,False,False,False,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
94396,122861.90977390528,94396,3.0,57707.94469455337,1.0,69847.72777302799,100,2.0,18,120643.85162628206,1033,9.5,118326.856517193,False,False,True,False,False,False,False,False,False,True,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
158237,122861.90977390528,158237,3.0,97736.13775175439,2.0,100103.87447146118,0,2.0,11,121584.10820267188,1676,6.0,120359.4648923503,False,False,False,False,False,False,False,False,False,True,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
239068,121027.37247892222,239068,3.0,158360.08205671902,2.0,154729.955231694,50,3.0,18,121880.94338928694,1321,6.8,125432.11887271449,False,False,True,False,False,False,False,False,False,True,65,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81401,121027.37247892222,81401,1.0,116306.61368095898,1.0,119669.54886805556,0,0.0,2,122524.88981824348,1930,6.3,122130.72615279279,True,False,False,False,False,False,False,False,False,True,63,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144229,120419.97521352161,129806,1.0,172685.7496254045,1.0,129660.4507294766,0,3.0,2,121880.94338928694,1213,9.5,121134.47297521816,False,True,False,False,True,False,False,False,False,False,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
78936,119771.69037790158,67096,1.0,122934.0714931203,0.0,123778.5602185247,0,1.0,4,122381.52114165043,697,6.9,122477.80073939395,True,False,False,False,False,True,False,False,False,False,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0
101054,119771.69037790158,101054,2.0,97736.13775175439,2.0,128906.90555944799,0,1.0,6,123907.24640175262,2396,8.8,121134.47297521816,False,False,True,False,False,False,False,False,False,True,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
91807,120419.97521352161,78036,2.0,118315.33478882577,0.0,118605.80015427929,50,2.0,9,121046.11303042462,1519,8.3,120624.93089029983,False,True,False,False,False,True,False,False,False,False,54,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
49858,122513.0502911138,42379,0.0,118315.33478882577,0.0,127297.27498619958,100,1.0,1,123907.24640175262,1215,9.2,122187.41401641685,False,False,False,False,False,True,False,False,False,False,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
80596,121027.37247892222,68507,0.0,118315.33478882577,2.0,165815.62862215628,0,2.0,1,121046.11303042462,1512,6.8,124759.63652083334,False,True,False,False,False,True,False,False,False,False,60,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
76026,120265.20777809255,76026,1.0,123530.21756312445,1.0,125832.35612855518,50,3.0,4,123907.24640175262,1079,8.0,119828.5926969697,False,True,False,False,False,False,False,False,False,True,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
84841,124380.2992305099,84841,1.0,123530.21756312445,2.0,125832.35612855518,0,0.0,4,124127.19528382148,2456,5.7,124593.67228891222,False,False,False,False,False,False,False,False,False,True,48,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
158900,122840.68449392362,143010,2.0,172685.7496254045,1.0,165815.62862215628,50,0.0,8,121584.10820267188,2367,6.0,120359.4648923503,True,False,False,False,True,False,False,False,False,False,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
153858,118898.54564649124,130779,3.0,122934.0714931203,0.0,123778.5602185247,50,2.0,13,119905.16104714476,2133,5.1,122477.80073939395,False,False,False,False,False,True,False,False,False,False,53,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115314,122840.68449392362,115314,1.0,158360.08205671902,1.0,117272.31670919541,0,1.0,3,121127.23236765678,1783,7.9,122111.38418310913,False,False,False,False,False,False,False,False,False,True,26,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
181068,122513.0502911138,181068,3.0,116649.10313411971,0.0,118453.39422916668,100,3.0,13,124127.19528382148,1322,8.5,123787.58394685504,False,True,False,False,False,False,False,False,False,True,59,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
119021,121605.0716888889,119021,0.0,158360.08205671902,2.0,122788.34347854785,0,3.0,1,124127.19528382148,1461,7.3,118337.19699517907,False,True,False,False,False,False,False,False,False,True,64,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219746,117026.43936580967,219746,3.0,116649.10313411971,1.0,121665.77087455196,100,3.0,15,121584.10820267188,1485,7.0,122111.38418310913,True,False,False,False,False,False,False,False,False,True,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
115774,119771.69037790158,115774,3.0,57707.94469455337,2.0,69847.72777302799,50,0.0,10,121127.23236765678,1618,5.3,118337.19699517907,True,False,False,False,False,False,False,False,False,True,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
130984,119771.69037790158,117886,0.0,172685.7496254045,2.0,129549.32338095238,50,1.0,1,122524.88981824348,1774,5.3,118337.19699517907,False,False,True,False,True,False,False,False,False,False,72,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
191223,123455.98514601345,172101,3.0,172685.7496254045,0.0,123778.5602185247,0,3.0,18,123907.24640175262,1926,6.8,124477.45845047,False,True,False,False,True,False,False,False,False,False,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
155502,119771.69037790158,155502,2.0,160774.44582168458,1.0,108429.7057131783,50,3.0,9,122381.52114165043,2449,7.6,122130.72615279279,False,True,False,False,False,False,False,False,False,True,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
86140,120419.97521352161,73219,1.0,122934.0714931203,2.0,100103.87447146118,50,2.0,4,121127.23236765678,1816,7.3,119828.5926969697,False,False,True,False,False,True,False,False,False,False,32,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
96028,122053.19618785496,72021,1.0,130012.48368322718,2.0,124021.16862287905,0,1.0,4,123907.24640175262,1878,6.6,122130.72615279279,True,False,False,False,False,False,True,False,False,False,19,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
134920,121638.74992410523,134920,2.0,141859.23520017072,0.0,143323.19758998937,0,0.0,7,122381.52114165043,1930,6.7,119828.5926969697,False,False,True,False,False,False,False,False,False,True,39,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
